Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,58.699999999999996,0.43,13.74,24.29
KNN,SMOTE,47.63,6.08,18.17,23.96
KNN,ADASYN,46.86,5.76,18.43,23.68
KNN,Near Miss,52.73,8.85,9.15,23.58
KNN,Tomek Links,59.53000000000001,1.18,14.02,24.91
KNN,ENN,53.669999999999995,23.49,2.11,26.42
KNN,SMOTE ENN,46.61,21.9,28.67,32.39
KNN,SMOTE Tomek,48.61,5.6899999999999995,15.97,23.42
Random Forest,Origin,57.589999999999996,23.69,31.96,37.75
Random Forest,SMOTE,57.38999999999999,25.15,37.04,39.86
Random Forest,ADASYN,60.160000000000004,25.45,36.480000000000004,40.7
Random Forest,Near Miss,25.46,10.34,19.040000000000003,18.28
Random Forest,Tomek Links,58.940000000000005,20.9,31.78,37.21
Random Forest,ENN,56.36,25.490000000000002,12.920000000000002,31.59
Random Forest,SMOTE ENN,52.65,25.759999999999998,36.21,38.21
Random Forest,SMOTE Tomek,57.489999999999995,24.89,36.01,39.46
MLP,Origin,72.19,3.95,13.389999999999999,29.84
MLP,SMOTE,58.10999999999999,28.249999999999996,35.339999999999996,40.57
MLP,ADASYN,60.89,29.07,34.71,41.56
MLP,Near Miss,31.290000000000003,12.17,31.1,24.85
MLP,Tomek Links,72.09,2.31,16.13,30.18
MLP,ENN,59.699999999999996,24.93,0.43,28.35
MLP,SMOTE ENN,48.17,23.830000000000002,20.94,30.98
MLP,SMOTE Tomek,59.089999999999996,27.22,30.769999999999996,39.03
SVM,Origin,57.16,28.02,35.46,40.21
SVM,SMOTE,54.81,27.27,35.76,39.28
SVM,ADASYN,55.82,27.450000000000003,34.67,39.31
SVM,Near Miss,43.61,11.5,28.660000000000004,27.92
SVM,Tomek Links,58.37,27.71,34.82,40.3
SVM,ENN,55.02,25.919999999999998,32.53,37.82
SVM,SMOTE ENN,55.2,27.37,35.57,39.38
SVM,SMOTE Tomek,54.400000000000006,27.62,35.77,39.26
