Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,65.91,0.3,12.19,26.13
KNN,SMOTE,42.42,9.31,18.279999999999998,23.34
KNN,ADASYN,41.339999999999996,9.01,18.61,22.99
KNN,Near Miss,53.33,16.220000000000002,6.2,25.25
KNN,Tomek Links,67.17,0.8999999999999999,11.97,26.68
KNN,ENN,45.18,73.57000000000001,1.09,39.95
KNN,SMOTE ENN,35.589999999999996,52.55,26.44,38.19
KNN,SMOTE Tomek,44.519999999999996,8.709999999999999,15.340000000000002,22.86
Random Forest,Origin,50.690000000000005,38.74,31.56,40.33
Random Forest,SMOTE,51.05,32.43,40.589999999999996,41.36
Random Forest,ADASYN,54.64,33.629999999999995,38.3,42.19
Random Forest,Near Miss,18.33,29.73,15.78,21.28
Random Forest,Tomek Links,53.03,31.230000000000004,31.879999999999995,38.71
Random Forest,ENN,47.75,73.87,7.62,43.08
Random Forest,SMOTE ENN,42.6,47.15,37.87,42.54
Random Forest,SMOTE Tomek,51.05,33.03,39.06,41.05
MLP,Origin,94.78999999999999,2.1,8.05,34.98
MLP,SMOTE,50.449999999999996,52.849999999999994,32.64,45.31
MLP,ADASYN,56.26,47.449999999999996,31.56,45.09
MLP,Near Miss,21.990000000000002,33.33,28.29,27.87
MLP,Tomek Links,93.77,1.2,10.12,35.03
MLP,ENN,54.400000000000006,70.27,0.22,41.63
MLP,SMOTE ENN,37.03,71.77,14.469999999999999,41.09
MLP,SMOTE Tomek,52.790000000000006,55.26,25.240000000000002,44.43
SVM,Origin,48.53,54.65,32.97,45.38
SVM,SMOTE,45.42,54.05,34.17,44.55
SVM,ADASYN,46.67,54.65,32.54,44.62
SVM,Near Miss,35.77,26.13,24.81,28.9
SVM,Tomek Links,50.74999999999999,52.55,31.77,45.02
SVM,ENN,45.96,56.16,28.51,43.54
SVM,SMOTE ENN,46.08,54.65,33.410000000000004,44.71
SVM,SMOTE Tomek,44.82,54.949999999999996,34.39,44.72
