Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,65.28,51.41,64.97,60.55
KNN,SMOTE,68.17,52.6,66.86,62.54
KNN,SMOTE NC,68.10000000000001,52.99,67.51,62.87
KNN,ADASYN,67.21000000000001,53.44,65.10000000000001,61.92
KNN,Near Miss,61.260000000000005,54.169999999999995,52.72,56.05
KNN,Tomek Links,64.8,52.080000000000005,64.48,60.45
KNN,ENN,63.690000000000005,55.46,57.63,58.93
KNN,SMOTE ENN,70.03,54.769999999999996,68.0,64.27
KNN,SMOTE Tomek,67.83,52.54,66.67,62.35
Random Forest,Origin,78.41,59.540000000000006,79.60000000000001,72.52
Random Forest,SMOTE,78.24,63.39,79.79,73.81
Random Forest,SMOTE NC,77.98,63.239999999999995,79.91,73.71
Random Forest,ADASYN,77.71000000000001,64.14,79.09,73.65
Random Forest,Near Miss,67.66,56.49999999999999,48.93,57.7
Random Forest,Tomek Links,78.21000000000001,58.699999999999996,79.44,72.12
Random Forest,ENN,77.24,62.68,75.33,71.75
Random Forest,SMOTE ENN,79.34,64.38000000000001,80.17999999999999,74.63
Random Forest,SMOTE Tomek,78.05,62.739999999999995,79.64,73.48
MLP,Origin,78.74,63.93,79.54,74.07
MLP,SMOTE,77.28,59.27,79.32000000000001,71.96
MLP,SMOTE NC,76.17,56.169999999999995,78.75,70.36
MLP,ADASYN,76.64999999999999,58.95,78.34,71.31
MLP,Near Miss,64.72,54.54,47.19,55.48
MLP,Tomek Links,78.74,64.64999999999999,79.45,74.28
MLP,ENN,75.94,63.839999999999996,79.07,72.95
MLP,SMOTE ENN,79.2,59.77,78.66,72.54
MLP,SMOTE Tomek,76.97,58.76,78.84,71.52
SVM,Origin,79.2,64.24,80.13,74.52
SVM,SMOTE,78.38000000000001,60.480000000000004,80.06,72.97
SVM,SMOTE NC,77.38000000000001,60.57,79.64,72.53
SVM,ADASYN,77.85,61.150000000000006,79.4,72.8
SVM,Near Miss,65.83,55.24,44.1,55.06
SVM,Tomek Links,79.14999999999999,66.03,79.93,75.04
SVM,ENN,77.68,64.75999999999999,79.24,73.89
SVM,SMOTE ENN,79.4,61.23,79.54,73.39
SVM,SMOTE Tomek,78.4,60.6,80.02,73.01
