Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,93.28,24.279999999999998,79.31,65.62
KNN,SMOTE,92.78999999999999,20.86,73.44000000000001,62.36
KNN,SMOTE NC,92.55,21.02,73.99,62.52
KNN,ADASYN,92.41,18.13,70.84,60.46
KNN,Near Miss,84.35000000000001,13.26,60.870000000000005,52.83
KNN,Tomek Links,93.24,24.6,78.95,65.6
KNN,ENN,91.53999999999999,28.38,73.35000000000001,64.42
KNN,SMOTE ENN,90.58,21.87,70.88,61.11
KNN,SMOTE Tomek,92.80000000000001,20.87,73.26,62.31
Random Forest,Origin,98.44000000000001,51.82,92.71000000000001,80.99
Random Forest,SMOTE,98.38,49.97,92.27,80.21
Random Forest,SMOTE NC,98.18,48.19,91.58,79.32
Random Forest,ADASYN,98.42,49.84,92.05,80.1
Random Forest,Near Miss,96.50999999999999,34.43,86.28,72.41
Random Forest,Tomek Links,98.41,51.92,92.74,81.02
Random Forest,ENN,97.99,47.199999999999996,91.32000000000001,78.84
Random Forest,SMOTE ENN,97.95,49.97,91.88,79.93
Random Forest,SMOTE Tomek,98.39,50.1,92.23,80.24
MLP,Origin,98.54,49.33,91.93,79.93
MLP,SMOTE,98.28,45.01,90.14999999999999,77.81
MLP,SMOTE NC,98.4,41.120000000000005,89.69,76.4
MLP,ADASYN,98.42999999999999,43.38,89.87,77.23
MLP,Near Miss,96.28,18.75,81.3,65.44
MLP,Tomek Links,98.52,48.11,91.88,79.5
MLP,ENN,98.24000000000001,45.87,90.86,78.32
MLP,SMOTE ENN,98.13,41.68,90.3,76.7
MLP,SMOTE Tomek,98.45,45.89,90.25,78.2
SVM,Origin,98.3,41.660000000000004,90.83,76.93
SVM,SMOTE,98.24000000000001,38.7,90.62,75.85
SVM,SMOTE NC,98.28,39.379999999999995,89.98,75.88
SVM,ADASYN,98.37,38.1,89.2,75.22
SVM,Near Miss,92.57,13.4,75.98,60.65
SVM,Tomek Links,98.29,41.760000000000005,90.92,76.99
SVM,ENN,98.0,43.480000000000004,90.83,77.44
SVM,SMOTE ENN,98.05,37.97,90.86,75.63
SVM,SMOTE Tomek,98.24000000000001,38.84,90.67,75.92
