Model,Method,No Diabetes,Prediabetes,Diabetes,macro
KNN,Origin,89.83,41.02,82.78,71.21
KNN,SMOTE,92.22,28.87,80.4,67.16
KNN,SMOTE NC,91.91,30.43,79.78,67.37
KNN,ADASYN,92.85,25.230000000000004,75.14,64.41
KNN,Near Miss,92.01,14.97,65.75999999999999,57.58
KNN,Tomek Links,89.64999999999999,39.0,83.89999999999999,70.85
KNN,ENN,89.34,35.46,90.53999999999999,71.78
KNN,SMOTE ENN,92.12,29.220000000000002,85.68,69.01
KNN,SMOTE Tomek,92.21000000000001,29.04,81.02000000000001,67.42
Random Forest,Origin,94.05,48.97,89.7,77.57
Random Forest,SMOTE,94.05,52.370000000000005,88.77000000000001,78.4
Random Forest,SMOTE NC,94.05,46.73,89.61,76.8
Random Forest,ADASYN,94.05,52.349999999999994,88.9,78.43
Random Forest,Near Miss,94.17999999999999,27.939999999999998,87.38,69.83
Random Forest,Tomek Links,94.05,48.15,90.36999999999999,77.52
Random Forest,ENN,95.28,39.64,92.95,75.96
Random Forest,SMOTE ENN,94.05,49.059999999999995,89.73,77.61
Random Forest,SMOTE Tomek,94.05,52.459999999999994,88.91,78.47
MLP,Origin,94.23,55.15,85.44,78.27
MLP,SMOTE,95.08,38.76,89.88000000000001,74.57
MLP,SMOTE NC,95.8,37.12,87.25,73.39
MLP,ADASYN,95.55,43.13,82.87,73.85
MLP,Near Miss,93.93,17.39,79.57,63.63
MLP,Tomek Links,94.05,52.64,86.79,77.83
MLP,ENN,94.61,39.82,91.94,75.46
MLP,SMOTE ENN,95.61,34.839999999999996,87.92999999999999,72.79
MLP,SMOTE Tomek,94.95,41.36,87.27000000000001,74.53
SVM,Origin,94.71000000000001,41.94,91.67,76.11
SVM,SMOTE,95.13000000000001,40.38,90.0,75.17
SVM,SMOTE NC,95.22,39.45,90.05,74.91
SVM,ADASYN,95.36,38.72,87.48,73.85
SVM,Near Miss,92.89,15.53,83.5,63.97
SVM,Tomek Links,94.71000000000001,41.91,91.97,76.2
SVM,ENN,95.19,38.34,93.10000000000001,75.54
SVM,SMOTE ENN,95.33,39.23,90.29,74.95
SVM,SMOTE Tomek,95.03,40.08,89.75,74.95
